"","TaxonID","class","scientificName","documentType","urls"
"140",2573,"Bivalvia","Fusconaia cor","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/840709d.pdf"
"141",2573,"Bivalvia","Fusconaia cor","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3471.pdf"
"142",2573,"Bivalvia","Fusconaia cor","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2137.pdf"
"143",3038,"Bivalvia","Fusconaia cuneolus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/fine rayed recov plan.pdf"
"144",3038,"Bivalvia","Fusconaia cuneolus","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3629.pdf"
"145",3038,"Bivalvia","Fusconaia cuneolus","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2138.pdf"
"146",5040,"Bivalvia","Fusconaia escambia","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/20121113_Recovery Outline for 8 Gulf Coast Mussels_FINAL.pdf"
"147",5040,"Bivalvia","Fusconaia escambia","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3970.pdf"
"148",5040,"Bivalvia","Fusconaia escambia","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/77/61663?link-type=pdf"
"149",5164,"Bivalvia","Fusconaia masoni","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/201267"
"150",5164,"Bivalvia","Fusconaia masoni","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/167891"
"151",5164,"Bivalvia","Fusconaia masoni","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/20220204 Recovery Outline for Atlantic Pigtoe - signed.pdf"
"152",5164,"Bivalvia","Fusconaia masoni","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/86/64000?link-type=pdf"
"153",9880,"Bivalvia","Fusconaia subrotunda","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/228101"
"154",9880,"Bivalvia","Fusconaia subrotunda","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/185471"
"155",9880,"Bivalvia","Fusconaia subrotunda","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/88/14794"
"156",4127,"Bivalvia","Quadrula fragosa","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/970625.pdf"
"157",4127,"Bivalvia","Quadrula fragosa","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3379.pdf"
"158",3789,"Bivalvia","Pleurobema clava","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/940921.pdf"
"159",3789,"Bivalvia","Pleurobema clava","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2772.pdf"
"160",3789,"Bivalvia","Pleurobema clava","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1478.pdf"
"161",5429,"Bivalvia","Pleurobema curtum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Southern Combshell Mussel and Black Clubshell Mussel Recovery Plan Amendment.pdf"
"162",5429,"Bivalvia","Pleurobema curtum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/891114e.pdf"
"163",5429,"Bivalvia","Pleurobema curtum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3478.pdf"
"164",5429,"Bivalvia","Pleurobema curtum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2330.pdf"
"165",5429,"Bivalvia","Pleurobema curtum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1350.pdf"
"166",6113,"Bivalvia","Pleurobema decisum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Southern Clubshell Recovery Plan Amendment_1.pdf"
"167",6113,"Bivalvia","Pleurobema decisum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/001117.pdf"
"168",6113,"Bivalvia","Pleurobema decisum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2849.pdf"
"169",6113,"Bivalvia","Pleurobema decisum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf"
"170",6113,"Bivalvia","Pleurobema decisum","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/69/40084?link-type=pdf"
"171",1520,"Bivalvia","Pleurobema georgianum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Coosa moccasinshell and Southern pigtoe Recovery Plan Amendment_2.pdf"
"172",1520,"Bivalvia","Pleurobema georgianum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/001117.pdf"
"173",1520,"Bivalvia","Pleurobema georgianum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2855.pdf"
"174",1520,"Bivalvia","Pleurobema georgianum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf"
"175",1520,"Bivalvia","Pleurobema georgianum","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/69/40084?link-type=pdf"
"176",6494,"Bivalvia","Pleurobema hanleyianum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Georgia Pigtoe Recovery Plan Amendment.pdf"
"177",6494,"Bivalvia","Pleurobema hanleyianum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/2014 10 31  Three Mollusks final recovery plan.pdf"
"178",6494,"Bivalvia","Pleurobema hanleyianum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/966.pdf"
"179",6494,"Bivalvia","Pleurobema hanleyianum","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/75/67512?link-type=pdf"
