,t1_f1,t2_f1,t3_f1,t4_f1,t5_f1,t6_f1,t7_f1,t8_f1,t9_f1,t10_f1,t11_f1,t12_f1,t13_f1
708,0.46153846153846156,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.5,0.6666666666666666,0.4,0.5714285714285714,0.75,0.0,0.6666666666666666,0.7142857142857143,0.0
709,0.4,0.4,0.5,0.2857142857142857,0.6666666666666666,0.5,0.5454545454545454,0.9333333333333333,0.75,0.0,0.8235294117647058,0.7692307692307693,0.0
710,0.6666666666666666,0.4444444444444444,0.75,0.0,0.5,0.6666666666666666,0.6,0.8,0.8235294117647058,0.0,0.36363636363636365,0.9230769230769231,0.0
711,0.7272727272727273,0.4444444444444444,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.4,0.9230769230769231,0.8235294117647058,0.9411764705882353,0.0,0.75,0.8571428571428571,0.0
712,0.5454545454545454,0.5454545454545454,0.75,0.3333333333333333,0.5,0.3333333333333333,0.6153846153846154,0.8,0.8235294117647058,0.0,0.8235294117647058,0.8,0.0
713,0.7272727272727273,0.8,0.8,0.5,0.75,0.5714285714285714,0.7142857142857143,0.75,0.7777777777777778,0.0,0.8571428571428571,0.5454545454545454,0.0
714,0.75,0.8888888888888888,0.4444444444444444,0.0,0.0,0.5714285714285714,0.8333333333333334,0.8235294117647058,0.875,0.0,0.8,0.9230769230769231,0.5
715,0.7142857142857143,1.0,0.3333333333333333,0.5714285714285714,0.75,0.75,0.7272727272727273,0.8,0.8888888888888888,0.0,0.8421052631578947,0.7142857142857143,0.0
716,0.8333333333333334,0.5454545454545454,0.5,0.5,0.8,0.6666666666666666,0.5714285714285714,0.8571428571428571,0.625,0.0,0.75,0.6666666666666666,0.0
717,0.36363636363636365,0.7272727272727273,1.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.8,0.6153846153846154,0.75,0.0,0.875,0.7692307692307693,0.0
718,0.6666666666666666,0.5714285714285714,0.2857142857142857,0.25,0.4,0.3333333333333333,0.6,0.625,0.5714285714285714,0.0,0.6666666666666666,0.8,0.0
719,0.8333333333333334,0.5454545454545454,0.7272727272727273,0.4,0.5,0.5714285714285714,0.36363636363636365,0.9411764705882353,0.6153846153846154,0.0,0.8235294117647058,0.7692307692307693,0.0
720,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.75,0.5454545454545454,0.7142857142857143,0.8,0.0,0.8,0.7142857142857143,0.0
721,0.8,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.25,0.4444444444444444,0.5714285714285714,0.8,0.75,0.0,0.875,0.8571428571428571,0.0
722,0.6666666666666666,0.5714285714285714,0.5,0.6,0.0,0.5714285714285714,0.3333333333333333,0.75,0.5714285714285714,0.0,0.7777777777777778,0.7272727272727273,0.5
723,0.6666666666666666,0.4,0.4444444444444444,0.6666666666666666,1.0,0.36363636363636365,0.8,0.8235294117647058,0.8235294117647058,0.0,0.875,0.7692307692307693,0.0
724,0.5,0.2,0.4444444444444444,0.0,0.5,0.5714285714285714,0.5,0.8,0.7777777777777778,0.0,0.8235294117647058,0.8571428571428571,0.0
725,0.7142857142857143,0.7272727272727273,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.5714285714285714,0.5,0.875,0.9411764705882353,0.0,0.75,0.7142857142857143,0.5
726,0.36363636363636365,0.6666666666666666,0.8571428571428571,0.0,0.0,0.5,0.5454545454545454,0.75,0.8235294117647058,0.0,0.875,0.75,0.0
727,0.7142857142857143,0.7272727272727273,0.75,0.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.8235294117647058,0.0,0.8235294117647058,0.6666666666666666,0.5
728,0.7272727272727273,0.75,0.5,0.25,0.4,0.5,0.4,0.8,0.75,0.0,0.6153846153846154,0.6666666666666666,0.0
729,0.7142857142857143,0.6,0.6666666666666666,0.2,0.5,0.5,0.5454545454545454,0.625,0.9411764705882353,0.0,0.75,0.7142857142857143,0.0
730,0.7142857142857143,0.75,0.8571428571428571,0.0,0.75,0.4,0.36363636363636365,0.75,0.5714285714285714,0.0,0.8571428571428571,0.6153846153846154,0.0
731,0.8333333333333334,0.6,0.6666666666666666,0.4444444444444444,0.5,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.625,0.0,0.8421052631578947,0.8,0.0
732,0.7142857142857143,0.6,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.46153846153846156,0.875,0.75,0.0,0.7058823529411765,0.5,0.6666666666666666
733,0.6153846153846154,0.6,0.5714285714285714,0.25,0.5714285714285714,0.0,0.5,0.6666666666666666,0.8888888888888888,0.0,0.8235294117647058,0.7272727272727273,0.0
734,0.8571428571428571,0.4,0.5454545454545454,0.0,0.6666666666666666,0.5454545454545454,0.7272727272727273,0.75,0.8235294117647058,0.0,1.0,0.6666666666666666,0.6666666666666666
735,0.6,0.4444444444444444,0.6666666666666666,0.4,0.5,0.25,0.5,0.7142857142857143,0.8235294117647058,0.0,0.7777777777777778,0.7692307692307693,0.0
736,0.8,0.8,0.6,0.25,0.6666666666666666,0.4,0.6666666666666666,0.9411764705882353,0.75,0.0,0.6666666666666666,0.7142857142857143,0.0
737,0.8333333333333334,0.7272727272727273,0.6,0.2857142857142857,0.6666666666666666,0.0,0.6153846153846154,0.75,0.8235294117647058,0.0,0.8421052631578947,0.5454545454545454,0.0
738,0.5,0.4444444444444444,0.6,0.6666666666666666,0.4,0.3333333333333333,0.4,0.7142857142857143,0.8888888888888888,0.0,0.6666666666666666,0.7142857142857143,0.0
739,0.7142857142857143,0.5454545454545454,0.4,0.2857142857142857,0.0,0.3333333333333333,0.4,0.8235294117647058,0.8235294117647058,0.0,0.9411764705882353,0.5,0.0
740,0.7692307692307693,0.5714285714285714,0.6666666666666666,0.0,0.8,0.8571428571428571,0.4,0.75,0.875,0.0,0.8,0.6666666666666666,0.0
741,0.5454545454545454,0.6666666666666666,0.5,0.3076923076923077,0.4,0.5714285714285714,0.7142857142857143,0.7777777777777778,0.7142857142857143,0.0,0.7058823529411765,0.75,0.0
742,0.7142857142857143,0.7272727272727273,0.6666666666666666,0.0,0.5714285714285714,0.75,0.7692307692307693,0.8888888888888888,0.7777777777777778,0.0,0.7142857142857143,0.6666666666666666,0.0
743,0.6666666666666666,0.7272727272727273,0.5714285714285714,0.2222222222222222,0.4,0.5,0.7142857142857143,0.875,0.7777777777777778,0.0,0.7777777777777778,0.46153846153846156,0.0
744,0.5,0.8,0.6,0.0,0.5,0.75,0.6666666666666666,0.8888888888888888,0.75,0.0,0.8888888888888888,0.8,0.0
745,0.5454545454545454,0.4444444444444444,0.4444444444444444,0.5,0.4,0.5714285714285714,0.5,0.8235294117647058,0.7692307692307693,0.0,0.8,0.7142857142857143,0.5
746,0.625,0.5714285714285714,1.0,0.5,0.2857142857142857,0.4444444444444444,0.5454545454545454,0.9411764705882353,0.5333333333333333,0.0,0.8,0.9230769230769231,0.0
747,0.6666666666666666,0.4444444444444444,0.7272727272727273,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.875,0.0,0.7777777777777778,0.6666666666666666,0.0
748,0.5714285714285714,0.0,0.7272727272727273,0.4,0.5714285714285714,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.0,0.875,0.9230769230769231,0.0
749,0.6666666666666666,0.8888888888888888,0.5714285714285714,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.4,0.8235294117647058,0.7058823529411765,0.0,0.6153846153846154,0.6666666666666666,0.0
750,0.8333333333333334,0.6,0.6666666666666666,0.0,0.6666666666666666,0.5714285714285714,0.7272727272727273,0.8235294117647058,0.6666666666666666,0.0,0.8888888888888888,0.5454545454545454,0.0
751,0.5454545454545454,0.2857142857142857,0.8,0.0,0.4,0.5,0.6153846153846154,0.8,0.875,0.0,0.7058823529411765,0.6153846153846154,0.0
752,0.7692307692307693,0.8888888888888888,0.5,0.0,0.4,0.5714285714285714,0.7692307692307693,0.875,0.625,0.0,0.8571428571428571,0.75,0.0
753,0.7272727272727273,0.6,0.8,0.5,0.4,0.5,0.4,0.8235294117647058,0.6666666666666666,0.0,0.7058823529411765,0.8,0.0
754,0.7142857142857143,0.7272727272727273,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.8571428571428571,0.875,0.9411764705882353,0.0,0.7142857142857143,0.7692307692307693,0.0
755,0.6153846153846154,0.7272727272727273,0.8,0.0,0.8571428571428571,0.25,0.7142857142857143,0.6666666666666666,0.8,0.0,0.625,0.7142857142857143,0.0
756,0.7058823529411765,0.4444444444444444,0.75,0.0,0.5714285714285714,0.4,0.7692307692307693,0.8,0.75,0.0,0.9333333333333333,0.75,0.0
757,0.5,0.6666666666666666,0.25,0.0,0.5,0.3333333333333333,0.5454545454545454,0.7142857142857143,0.7058823529411765,0.0,0.8,0.75,0.0
758,0.7142857142857143,0.8,0.6666666666666666,0.3333333333333333,0.75,0.2857142857142857,0.6153846153846154,0.75,0.75,0.0,0.8888888888888888,0.6153846153846154,0.0
759,0.75,0.5714285714285714,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.7777777777777778,0.0,0.8235294117647058,0.8,0.0
760,0.6,0.5,0.75,0.4,0.3333333333333333,0.4444444444444444,0.7142857142857143,0.7142857142857143,0.8,0.0,0.75,0.8571428571428571,0.0
761,0.6,0.7272727272727273,0.6666666666666666,0.5,0.5714285714285714,0.3333333333333333,0.5,0.75,0.8888888888888888,0.0,0.8,0.875,0.0
762,0.5,0.6,0.2857142857142857,0.5,0.6666666666666666,0.5714285714285714,0.4444444444444444,0.75,0.625,0.0,0.8888888888888888,0.7058823529411765,0.0
763,0.8,0.5,0.6666666666666666,0.0,0.5714285714285714,0.6666666666666666,0.6,0.8,0.75,0.0,0.46153846153846156,0.6153846153846154,0.4
764,0.6153846153846154,0.4,0.8571428571428571,0.2222222222222222,0.6666666666666666,0.5714285714285714,0.46153846153846156,0.6666666666666666,0.7058823529411765,0.0,0.6666666666666666,0.6153846153846154,0.0
765,0.6666666666666666,0.5,0.7272727272727273,0.0,0.3333333333333333,0.5714285714285714,0.7692307692307693,0.875,0.8235294117647058,0.0,0.6666666666666666,0.5454545454545454,0.0
